,City,Cnty,Station_Id_C,Province,Station_levl,Station_Name,Town,Alti,Lat,Lon,wind,WIN_S_Gust_Max,WIN_D_Gust_Max,value
151,台州市,温岭市,K8426,浙江省,14,粮食功能区,箬横镇,6.0,28.4111,121.5644,64326.0,6.4,326,6.4
152,台州市,温岭市,K8427,浙江省,14,大溪高速,大溪镇,5.0,28.4689,121.2619,15039.0,1.5,39,1.5
153,台州市,温岭市,K8429,浙江省,14,泽国,泽国镇,10.0,28.4894,121.3794,43027.0,4.3,27,4.3
154,台州市,温岭市,K8430,浙江省,14,城西,城西街道,24.0,28.39,121.3681,29034.0,2.9,34,2.9
155,台州市,温岭市,K8441,浙江省,14,泽国二小,泽国镇,5.0,28.4969,121.3361,28069.0,2.8,69,2.8
156,台州市,温岭市,K8442,浙江省,14,长屿,新河镇,30.0,28.4361,121.4358,26083.0,2.6,83,2.6
157,台州市,温岭市,K8443,浙江省,14,高桥小学,新河镇,10.0,28.4894,121.4331,45059.0,4.5,59,4.5
158,台州市,温岭市,K8444,浙江省,14,东浦,箬横镇,10.0,28.345,121.4997,59352.0,5.9,352,5.9
159,台州市,温岭市,K8445,浙江省,14,北港,松门镇,66.0,28.4317,121.6581,101047.0,10.1,47,10.1
160,台州市,温岭市,K8447,浙江省,14,温岭南,城南镇,10.0,28.3278,121.4594,70041.0,7.0,41,7.0
161,台州市,温岭市,K8448,浙江省,14,隔海岛,石塘镇,20.0,28.3039,121.6469,120063.0,12.0,63,12.0
162,台州市,温岭市,K8449,浙江省,14,横屿山,横峰街道,48.0,28.4331,121.3353,41008.0,4.1,8,4.1
163,台州市,温岭市,K8460,浙江省,14,潘郎小学,大溪镇,10.0,28.4539,121.3058,19013.0,1.9,13,1.9
164,台州市,温岭市,K8461,浙江省,14,犁头咀,城南镇,30.0,28.2656,121.4369,96042.0,9.6,42,9.6
165,台州市,温岭市,K8462,浙江省,14,伍佰屿,滨海镇,5.0,28.4769,121.6092,83041.0,8.3,41,8.3
166,台州市,温岭市,K8463,浙江省,14,温岭中学,太平街道,6.0,28.3747,121.3969,25243.0,2.5,243,2.5
