,Unnamed: 0,IIiii,StationName,ItemList,IP,NNnn,EEEee,lon,lat,Height,H_Gnd,ZoomLevel,Selected,Province,City,County,Town,Village,Country,Address0,Type,Note,Address,TZAir,ShareF,Property,Index0
61,61,K8101,东方红,PTURF,255.0.0.0,2841,12127,121.4467,28.67805,220,210,16,False,浙江,台州,椒江区,海门街道,,椒江区,椒江区海门街道东方红村,区域站,中尺度,-         ,0.0,SHARED_VER,沿海,RF
62,62,K8102,椒江口,PTURFV,255.0.0.0,2839,12131,121.5167,28.65,130,130,64,False,浙江,台州,椒江区,海门街道,,椒江区,海门街道,区域站,中尺度,-         ,1.0,SHARED_VER,"沿海,高速",
63,63,K8103,涛江闸,PTURF,255.0.0.0,2842,12129,121.4897,28.69667,140,130,16,False,浙江,台州,椒江区,前所街道,,椒江区,椒江区沿江村涛江闸楼顶(平原),区域站,中尺度,-         ,1.0,SHARED_VER,沿海,RF
64,64,K8104,马峙,PTURF,255.0.0.0,2845,12124,121.4047,28.75389,220,210,16,False,浙江,台州,椒江区,章安街道,,椒江区,椒江区章安惠民小学楼顶(平原),区域站,中尺度,-         ,0.0,SHARED_VER,高速,RF
65,65,K8105,农场,PTRF,255.0.0.0,2837,12131,121.5167,28.6167,130,130,64,False,浙江,台州,椒江区,,,椒江区,椒江农场-九塘,区域站,中尺度,-         ,0.0,SHARED_VER,沿海,
66,66,K8106,大桥,PTURFV,255.0.0.0,2842,12124,121.3967,28.70806,60,60,12,False,浙江,台州,椒江区,章安街道,,椒江区,椒江区章安街道建设村大桥收费站院内(平原),区域站,中尺度,-         ,1.0,SHARED_VER,沿海航线,R
67,67,K8107,下陈,PTURF,255.0.0.0,2836,12128,121.4592,28.59306,50,40,16,False,浙江,台州,椒江区,下陈街道,,椒江区,椒江区下陈街道杨家村春锦苑渔庄(平原),区域站,中尺度,-         ,1.0,SHARED_VER,,RF
68,68,K8108,柏树里,PTURF,255.0.0.0,2844,12127,121.4508,28.73028,70,60,16,False,浙江,台州,椒江区,章安街道,,椒江区,椒江区章安街道惠民村(平原),区域站,中尺度,-         ,0.0,SHARED_VER,水稻,RF
69,69,K8109,新佳果,PTURF,255.0.0.0,2837,12131,121.5092,28.61944,40,30,16,False,浙江,台州,椒江区,三甲街道,,椒江区,椒江区三甲街道新佳果(平原),区域站,中尺度,-         ,1.0,SHARED_VER,沿海、柑橘、高速TZW,R
70,70,K8110,上大陈,TRF,255.0.0.0,2830,12154,121.9056,28.49639,560,550,12,False,浙江,台州,椒江区,大陈镇,,椒江区,椒江区大陈镇上大陈岛(岛屿),区域站,中尺度,-         ,1.0,,海岛航线,RFH
71,71,K8111,二桥,PTURFDV,255.0.0.0,2842,12128,121.4744,28.69444,310,300,16,False,浙江,台州,椒江区,前所街道,,椒江区,椒江区前所街道椒江二桥北岸(平原),区域站,中尺度,-         ,1.0,,沿海航线,
72,72,K8112,岳头村,PTURF,255.0.0.0,2840,12127,121.4556,28.66417,60,50,16,False,浙江,台州,椒江区,海门街道,,椒江区,椒江区医化企业管委会大院(平原),区域站,中尺度,-         ,,,,R
73,73,K8113,污水厂,PTURF,255.0.0.0,2839,12131,121.5019,28.64,40,30,16,False,浙江,台州,椒江区,海门街道,,椒江区,椒江区污水处理公司-澳门街道岩头村(平原),区域站,中尺度,-         ,,,高速TZW,RF
74,74,K8114,雷达站,PTURFEV,255.0.0.0,2837,12131,121.522441,28.61722,40,30,12,False,浙江,台州,椒江区,三甲街道,,椒江区,台州气象雷达站(平原),区域站,中尺度,-         ,1.0,,"航线,高速,GS TZW",
75,75,K8115,挡港桥,PTURF,255.0.0.0,2835,12124,121.3997,28.59028,120,110,16,False,浙江,台州,椒江区,洪家街道,,椒江区,椒江区洪家街道挡港桥村(平原),区域站,中尺度,-         ,1.0,,,R
76,76,K8116,一江山,PTURFV,255.0.0.0,2837,12149,121.8156,28.60861,510,500,8,False,浙江,台州,椒江区,大陈镇,,椒江区,椒江区一江山岛上(岛屿),区域站,中尺度,-         ,1.0,,海岛航线,
77,77,K8117,大陈码头,V,255.0.0.0,2827,12154,121.8894,28.45333,210,200,16,False,浙江,台州,椒江区,大陈镇,,椒江区,椒江区大陈镇大陈码头(岛屿),区域站,中尺度,-         ,1.0,,海岛,
78,78,K8118,乌石,PTURF,255.0.0.0,2841,12123,121.375,28.68333,60,50,16,False,浙江,台州,椒江区,葭沚街道,高坎村,椒江区,椒江区葭沚街道高坎村(平原),区域站,中尺度,-         ,0.0,,,
79,79,K8120,台州湾大桥,TUFD,255.0.0.0,2841,12131,121.5119,28.67805,210,200,16,False,浙江,台州,椒江区,海门街道,,椒江区,沿海高速台州湾大桥(海洋),区域站,中尺度,-         ,,,"高速,GS",
80,80,K8121,柑橘良种场,TRF,255.0.0.0,2844,12122,121.3692,28.73611,1510,1500,16,False,浙江,台州,椒江区,章安街道,山横村,椒江区,椒江区章安街道山横村柑橘良种场(丘陵),区域站,中尺度,-         ,,,,
81,81,K8122,烟草中心,TRF,255.0.0.0,2835,12132,121.5361,28.59,40,30,16,False,浙江,台州,椒江区,三甲街道,,椒江区,台州市集聚区烟草配送中心(平原),区域站,中尺度,-         ,,,TZW,
82,82,K8123,虾捕,TRF,255.0.0.0,2830,12153,121.8901,28.50553,1610,1600,16,False,浙江,台州,椒江区,大陈镇,,椒江区,台州市椒江区大陈镇上大陈南岙村虾捕(岛屿),区域站,中尺度,-         ,,,,
83,83,K8124,洪家二中,PTRF,255.0.0.0,2837,12125,121.4144,28.60372,60,50,16,False,浙江,台州,椒江区,i洪家街道,,椒江区,台州市椒江区洪家二中(平原),区域站,中尺度,-         ,,,,
84,84,K8125,上大陈码头,V,255.0.0.0,2829,12152,121.8731,28.47861,310,300,16,False,浙江,台州,椒江区,大陈镇,,椒江区,椒江区大陈镇上大陈码头(岛屿),区域站,中尺度,-         ,1.0,,海岛,
85,85,K8126,一江码头,V,255.0.0.0,2836,12149,121.81045,28.58675,300,300,16,False,浙江,台州,椒江区,大陈镇,,椒江区,椒江区大陈镇一江山岛展览馆后面(岛屿),区域站,中尺度,-         ,1.0,,海岛,
86,86,K8127,江北药业,TRF,255.0.0.0,2842,12122,121.3672,28.70611,60,50,16,False,浙江,台州,椒江区,章安街道,,,椒江区章安街道东埭村东埭码头(平原),区域站,中尺度,-         ,,,,
87,87,K8128,李宅村,TRF,255.0.0.0,2846,12124,121.3928,28.76,460,450,16,False,浙江,台州,椒江区,章安街道,,,椒江区章安街道李宅村(丘陵),区域站,中尺度,-         ,,,,
88,88,K8191,新民小学,TURF,255.0.0.0,2842,12126,121.4325,28.70583,60,60,32,False,浙江,台州,椒江区,前所街道,,椒江区,前所街道新民小学(平原),区域站,中尺度,-         ,0.0,,,
89,89,K8201,黄岩局,PTURFVNMO,255.0.0.0,2839,12117,121.28,28.6525,460,450,5,False,浙江,台州,黄岩区,东城街道,,黄岩区,台州市科技学院-王西村(平原),区域站,中尺度,-         ,1.0,SHARED_VER,"高速铁路,YN",RF
90,90,K8202,宁溪,PTURF,255.0.0.0,2835,12057,120.9753,28.59167,1500,1500,16,False,浙江,台州,黄岩区,宁溪镇,,黄岩区,黄岩区宁溪镇桥亭居(丘陵),区域站,中尺度,-         ,1.0,SHARED_VER,"山区,CT",
