,StationName,county,Town,lat,lon,IIiii,tTime,dFy,fFy,T,Tx,Tn,VV,RR
104,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-31 15:00:00,14,49,85,87,77,13710,0
105,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-31 16:00:00,113,32,83,85,83,10513,0
106,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-31 16:00:00,12,96,64,66,64,11029,0
107,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-31 16:00:00,349,49,84,86,83,13377,0
108,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-31 17:00:00,66,27,81,83,81,13566,0
109,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-31 17:00:00,20,94,65,66,63,10968,0
110,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-31 17:00:00,67,46,80,84,79,12458,0
111,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-31 18:00:00,72,20,75,81,75,8779,0
112,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-31 18:00:00,19,100,64,65,63,10620,0
113,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-11 19:00:00,303,71,73,81,73,6706,0
114,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-11 19:00:00,8,167,70,75,70,22599,0
115,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-11 19:00:00,23,106,78,84,78,9854,0
116,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-11 20:00:00,323,56,65,73,65,11171,0
117,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-11 20:00:00,13,157,63,70,63,25011,0
118,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-11 20:00:00,17,95,71,78,71,10371,0
119,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-11 21:00:00,360,33,54,65,54,12832,0
120,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-11 21:00:00,21,160,58,63,58,25017,0
121,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-11 21:00:00,35,107,62,71,62,10091,0
122,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-13 20:00:00,356,58,57,62,57,3774,0
123,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-13 20:00:00,15,151,56,59,55,5475,0
124,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-13 20:00:00,18,131,59,65,59,4504,0
125,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-13 21:00:00,343,57,51,57,51,3752,0
126,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-13 21:00:00,358,147,51,56,51,6350,0
127,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-13 21:00:00,34,123,54,59,54,4498,0
128,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-13 22:00:00,343,47,46,51,45,3748,0
129,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-13 22:00:00,11,124,47,52,47,6249,0
130,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-13 22:00:00,27,107,48,54,48,4410,0
131,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-15 20:00:00,79,13,77,84,77,3455,0
132,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-15 20:00:00,64,75,101,103,101,11755,0
133,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-15 20:00:00,23,52,94,95,93,7178,0
134,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-15 21:00:00,39,11,74,78,72,3386,0
135,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-15 21:00:00,41,71,101,102,99,9851,0
136,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-15 21:00:00,24,55,91,95,91,7082,0
137,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-15 22:00:00,319,13,80,80,74,3255,0
138,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-15 22:00:00,53,55,101,102,98,10479,0
139,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-15 22:00:00,23,64,90,92,90,6497,0
140,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-15 23:00:00,268,19,84,84,80,3374,0
141,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-15 23:00:00,40,66,103,103,100,10657,0
142,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-15 23:00:00,2,54,93,93,89,7182,0
143,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-17 22:00:00,303,34,88,88,87,7721,0
144,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-17 22:00:00,21,121,100,100,99,30000,0
145,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-17 22:00:00,329,70,81,81,80,11460,0
146,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-17 23:00:00,327,28,88,89,88,7276,0
147,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-17 23:00:00,13,122,100,101,100,30000,0
148,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-17 23:00:00,333,74,84,84,81,13492,0
149,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-18 00:00:00,292,32,87,88,86,6399,0
150,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-18 00:00:00,15,122,99,100,98,30000,0
151,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-18 00:00:00,347,74,84,84,84,13556,0
152,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-19 22:00:00,295,15,85,87,81,9346,0
153,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-19 22:00:00,56,62,105,106,105,25277,0
154,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-19 22:00:00,8,61,99,99,98,22251,0
155,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-19 23:00:00,296,17,98,98,86,11364,0
156,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-19 23:00:00,27,50,102,105,102,23412,0
157,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-19 23:00:00,3,62,99,100,99,17249,0
158,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-20 00:00:00,288,17,99,99,97,8554,0
159,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-20 00:00:00,18,53,98,102,98,24308,0
160,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-20 00:00:00,8,67,103,103,99,19368,0
161,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-01-23 20:00:00,313,33,124,126,124,10473,1
162,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-01-23 20:00:00,352,143,117,121,117,29793,0
163,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-01-23 20:00:00,341,126,133,137,132,30000,0
