,IIiii,tTime,P02,P08,P14,P20,Pa,Px,Pn,P002,P008,P014,P020,P0a,T02,T08,T14,T20,Ta,Tx,Tn,Tw02,Tw08,Tw14,Tw20,E02,E08,E14,E20,Ea,U02,U08,U14,U20,Ua,Un,N02,N08,N14,N20,Na,Nl02,Nl08,Nl14,Nl20,Nla,C02,C08,C14,C20,V02,V08,V14,V20,R20_08,R08_20,R20_20,WW,Ls,Lb,Zd,Zp,dF02,fF02,dF08,fF08,dF14,fF14,dF20,fF20,Fa,dFx,fFx,dFy,fFy,S,D0002,D0008,D0014,D0020,D00a,D00x,D00n,D0502,D0508,D0514,D0520,D05a,D1002,D1008,D1014,D1020,D10a,D1502,D1508,D1514,D1520,D15a,D2002,D2008,D2014,D2020,D20a,Tn_Tmr,R08_Tmr
30,58568,2022-02-10,10197,10217,10189,10206,10202,10223,10188,10242,10262,10234,10251,10247,60,60,89,64,68,90,55,-9999,-9999,-9999,-9999,90,84,72,74,80,96,90,63,77,82,61,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,64,200,200,110,-1,-1,-1,"(50,10,).",10,10,-1,-1,SSW,6,NNE,13,N,21,NNE,33,18,NNE,54,NNW,89,2,67,72,124,66,82,144,61,73,69,109,79,83,77,72,99,86,84,80,76,91,89,84,82,79,87,91,85,48,54
31,58647,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,-9999,-9999,-9999,-9999,-1,-1,-9999,"//,.",-9999,-9999,-1,-1,,-9999,,-9999,,-9999,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1
32,58648,2022-02-10,9936,9952,9919,9919,9932,9956,9912,10239,10256,10220,10221,10234,64,63,96,81,76,100,60,-9999,-9999,-9999,-9999,85,81,85,94,86,88,85,71,87,83,70,0,0,0,0,0,0,0,0,0,0,,,,,200,200,200,175,0,0,0,"(50,)60 1555   1615'1714'1812   1840'1923   1959,10,50 1945 1952,.",11,11,-1,-1,NE,21,NNE,13,N,14,C,1,12,NE,29,NNE,48,0,67,73,137,87,91,-9999,-9999,77,72,123,96,92,86,79,112,103,95,92,86,104,106,97,97,92,100,106,99,-9999,-9999
33,58665,2022-02-10,10224,10242,10219,10237,10231,10253,10216,10231,10249,10226,10244,10238,70,75,97,74,79,100,69,-9999,-9999,-9999,-9999,89,80,78,77,81,89,77,65,75,77,60,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,149,300,300,81,1,-1,1,"(50,10,).",11,11,-1,-1,WNW,13,N,29,ENE,23,NE,24,22,ENE,35,ENE,69,0,69,80,138,68,89,165,65,76,75,130,82,91,83,79,114,95,93,87,84,101,101,93,91,89,97,103,95,56,94
34,58742,2022-02-10,10040,10057,10022,10021,10035,10061,10016,10240,10258,10222,10221,10235,64,62,99,82,77,103,60,-9999,-9999,-9999,-9999,87,83,87,96,88,91,88,71,88,84,67,0,0,0,0,0,0,0,0,0,0,,,,,200,200,200,126,0,0,0,"(50,10,)60 1631   1647'1814   1942,50 1918'1943   1959,.",7,7,-1,-1,E,13,NNW,4,ESE,9,NNW,12,10,ENE,16,NNW,31,0,70,75,157,89,98,-9999,-9999,79,76,140,99,98,89,83,120,107,100,94,89,109,109,100,99,95,104,111,102,-9999,-9999
35,58443,2022-02-10,10224,10239,10216,10217,10224,10241,10208,10257,10272,10249,10250,10257,35,37,62,40,44,65,31,-9999,-9999,-9999,-9999,78,80,70,75,76,99,100,74,92,91,64,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,34,32,60,35,-1,-1,-1,"(50,10,)10,.",5,5,-1,-1,WNW,15,NW,5,E,14,SW,6,10,NE,28,E,44,0,35,52,98,33,55,110,26,41,43,91,53,57,44,43,76,63,57,48,47,67,67,57,51,50,61,67,57,39,7
36,58444,2022-02-10,10125,10141,10119,10118,10126,10144,10113,10254,10270,10247,10247,10254,28,31,56,43,40,58,26,-9999,-9999,-9999,-9999,74,76,76,76,76,99,99,84,92,94,81,0,0,0,0,0,0,0,0,0,0,,,,,4,9,44,29,1,-1,1,"(50,42;244,60,10,)10,.",15,15,-1,-1,W,10,NW,11,NW,11,SE,17,12,E,26,ENE,39,0,39,46,94,57,59,-9999,-9999,49,48,81,67,61,53,51,70,69,61,57,56,65,71,62,62,61,65,72,65,-9999,-9999
37,58562,2022-02-10,10236,10256,10234,10244,10243,10259,10230,10245,10265,10243,10253,10252,54,54,62,43,53,70,39,-9999,-9999,-9999,-9999,82,81,78,78,80,92,90,82,94,90,77,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,115,55,68,25,1,-1,1,"(10,60,)10,.",6,6,-1,-1,NNW,18,NNW,21,N,18,W,15,18,NW,36,NW,55,0,53,58,80,25,54,112,20,61,59,82,49,63,68,64,79,67,70,72,69,75,74,73,76,73,75,78,76,35,27
38,58569,2022-02-10,10074,10092,10073,10084,10081,10100,10072,10235,10254,10234,10246,10242,53,55,64,49,55,80,48,-9999,-9999,-9999,-9999,85,79,78,69,78,95,87,81,80,86,73,0,0,0,0,0,0,0,0,0,0,,,,,36,143,87,85,0,-1,0,"(10,60,)10,.",12,12,-1,-1,N,43,N,61,NNE,67,N,45,54,NNE,69,N,111,12,54,65,92,32,61,-9999,-9999,62,58,98,59,69,70,64,92,74,75,76,71,84,82,78,81,78,83,86,82,-9999,-9999
39,58659,2022-02-10,10195,10214,10180,10199,10197,10217,10178,10232,10251,10216,10236,10234,78,80,123,90,93,134,76,-9999,-9999,-9999,-9999,103,92,99,87,95,97,86,69,76,82,59,0,0,0,0,0,0,0,0,0,0,,,,,43,300,292,206,3,0,3,"(10,50,60,)60 1706'1909   1949,.",8,8,-1,-1,NNW,3,WNW,4,E,7,SSE,14,7,SE,22,ESE,51,5,83,87,177,99,112,-9999,-9999,87,86,162,112,112,93,90,137,121,110,97,95,117,122,108,100,98,107,118,106,-9999,-9999
