,StationName,lat,lon,IIiii
355,景山,28,120.6333333,K3245
356,梧田,27.96666667,120.6833333,K3246
357,腾垟,27.53333333,120.2333333,K3247
358,灵溪,27.48333333,120.4333333,K3248
359,矾山,27.33333333,120.4,K3249
360,沿浦,27.21666667,120.4833333,K3250
361,宜山,27.5,120.5333333,K3251
362,钱库,27.46666667,120.5666667,K3252
363,蒲城,27.25,120.45,K3253
364,岱岭,27.28333333,120.4166667,K3254
365,平屿,27.41666667,121.0666667,K3255
366,黎明,28.01666667,120.7333333,K3256
367,星海,27.86666667,120.8166667,K3257
368,三垟,27.98333333,120.7166667,K3258
369,上戍,28.08333333,120.5333333,K3259
370,状元,27.95,120.7333333,K3260
371,南郊,28,120.6333333,K3261
372,郭溪,28.03333333,120.5,K3262
373,石砰,27.4,120.6333333,K3263
374,双峰,28.46666667,121.0666667,K3264
375,南塘,28.26666667,121.1166667,K3265
376,柳市,28.03333333,120.8833333,K3266
377,凤阳,27.33333333,120.4,K3267
378,南白象,27.91666667,120.6666667,K3268
379,龙港西河,27.55,120.5166667,K3269
380,北关岛,27.16666667,120.5166667,K3270
381,望洲山,27.48333333,120.6,K3271
382,桥墩水库,27.46666667,120.2,K3272
383,呈坑,28.48333333,120.5833333,K3273
384,古庙,28.23639,120.8172,K3274
385,昆阳,28.26666667,120.5666667,K3275
386,崖下库,28.3,120.6666667,K3276
387,蒲州,28,120.7333333,K3278
388,松台,28.01666667,120.6333333,K3279
389,沙城,27.88333333,120.8,K3280
390,海城,27.83333333,120.7666667,K3281
391,海滨蓝田,27.93333333,120.85,K3282
392,鸣山,27.68333333,120.55,K3283
393,南滨,27.71666667,120.65,K3284
394,瑞安四中,27.78333333,120.6666667,K3285
395,玉海中学,27.78333333,120.6166667,K3286
396,国岭,27.43333333,120.0166667,K3288
397,凤浦岛,27.56666667,120.4833333,K3289
398,凤池,27.53333333,120.3833333,K3290
399,炎亭,27.48333333,120.6166667,K3291
400,周村,27.78333333,120.0833333,K3292
401,乐成,28.11666667,120.9666667,K3293
402,前山,27.58333333,120.2333333,K3294
403,沙岭,27.16666667,120.4333333,K3297
404,望海楼,27.81666667,121.1,K3298
405,娄桥,27.95,120.6166667,K3299
406,岙外,27.96666667,121.1833333,K3300
407,竹屿,27.81666667,121.2,K3301
408,南塘,27.81666667,121.1333333,K3302
409,百浪鼓,27.81666667,121.1166667,K3303
410,半屏山,27.81666667,121.15,K3304
411,鳌江三中,27.6,120.5666667,K3305
412,桃源渡心村,27.6,120.4666667,K3306
413,天成街道,28.16666667,121.0333333,K3307
414,榆垟象湾村,27.66666667,120.6166667,K3308
415,东沙村,27.83333333,121.1666667,K3309
416,箬隆村,28.11666667,120.7,K3310
417,峙口,28.16666667,120.7666667,K3311
418,朱岙村,28.2,120.65,K3312
419,九龙山,28.46666667,120.95,K3313
420,林下村,28.15,120.4666667,K3314
421,西章,28.2,120.6,K3315
422,大联村,28.06666667,120.7666667,K3316
423,莘塍,27.75,120.7166667,K3317
424,官山岛,27.33333333,120.5833333,K3318
425,满田林场,27.63333333,120.2333333,K3319
426,大门寨楼,27.98333333,121.1,K3320
427,乌岩山,28.15,120.6833333,K3321
428,龙山,28.16666667,120.7,K3322
429,上望东安,27.75,120.7,K3323
430,云周杏里,27.78333333,120.5666667,K3324
431,南塘镇,28.23333333,121.1333333,K3325
432,城东街道,28.16666667,120.9833333,K3326
433,溪下罗垟,28.53333333,120.5166667,K3327
434,溪下黄一,28.56666667,120.45,K3328
435,黄田凤屿,28.1,120.65,K3329
436,岩头高山,28.45,120.8333333,K3330
437,岩坦石阵,28.51666667,120.8,K3331
438,枫林垟山头,28.31666667,120.75,K3332
439,茗岙章岙,28.3,120.4833333,K3333
440,大若岩双岙,28.31666667,120.6166667,K3334
441,金溪茶一,28.26666667,120.4333333,K3335
442,三江行蝉,28.1,120.7333333,K3336
443,鹤盛鹤泉,28.36666667,120.8666667,K3337
444,沙头马田,28.3,120.85,K3338
445,望里港头,27.48333333,120.5166667,K3339
446,南关岛,27.15,120.4666667,K3340
447,横坑上宅,27.55,120.0333333,K3343
448,青山,27.91666667,121.1,K3347
449,莒溪天井,27.55917,120.0803,K3348
450,大门沙岙,27.97389,121.1253,K3349
451,大门观音礁,27.96472,121.1358,K3350
452,王宅,27.97778,121.0639,K3351
453,大山岛,27.93389,121.2172,K3352
454,大笔架屿,27.9225,121.1661,K3353
455,香花屿,27.74889,121.1689,K3354
456,南炮台,27.82417,121.1742,K3355
457,下埠宅,28.22583,120.9989,K3356
458,昌门,28.52194,121.1453,K3357
459,蒲岐,28.15889,121.0647,K3358
460,金鸡山,27.96056,120.2492,K3359
461,丁凤,27.71722,120.4728,K3360
462,小虎头屿,27.6172,121.1253,K3361
463,麻山,28.135,120.6339,K3362
464,陈周,28.46111,120.7706,K3363
465,岭背,28.58028,120.6525,K3364
466,王山,28.5525,120.7453,K3365
467,石鸟,28.49139,120.6164,K3366
468,正江山,28.35583,120.8608,K3367
469,篷溪,28.37222,120.8144,K3368
470,信岙,28.40611,120.4311,K3369
471,河口岙,28.06806,120.805,K3370
472,桥头黄堡,28.18861,120.4675,K3371
473,灵昆周宅,27.97,120.88,K3372
474,灵昆雁升,27.96,120.94,K3373
475,清江万乐农场,28.27278,121.0572,K3374
476,岭底张庄,28.29972,120.9308,K3375
477,龙西叶山,28.37,120.97,K3376
478,岩坦潘塘,28.53,120.66,K3377
479,界坑上董,28.46,120.38,K3378
480,茗岙章当,28.32,120.51,K3379
481,巽宅雷付,28.37,120.35,K3380
482,黄田千石,28.07,120.67,K3381
483,金溪岭一,28.27,120.49,K3382
484,鹤盛谷庄,28.36,120.93,K3383
485,岩头里岙,28.32,120.71,K3384
486,岩头抱岙,28.42,120.77,K3385
487,桥下京岸,28.17,120.54,K3386
488,云岭李川,28.47,120.88,K3387
489,云岭云栖,28.47,120.92,K3388
490,溪下麻茶,28.52,120.46,K3389
491,桐浦太平山,27.9,120.55,K3390
492,马屿曾光垟,27.76,120.47,K3391
493,霞关南坪,27.19,120.49,K3392
494,芦浦,27.52,120.61,K3393
495,灵溪横浦,27.52,120.43,K3394
496,灵溪仓浃,27.55,120.46,K3395
497,沙头中学,28.2,120.76,K3396
498,崇德学校,28.14,120.68,K3397
499,沙头乌龙川,28.24,120.84,K3398
500,城东实验小学,28.11,121.01,K3399
501,仙溪一小,28.42,121.07,K3400
502,百丈漈,27.83329964,120.0167007,K3402
503,雅阳氡泉,27.38330078,120.0832977,K3404
504,望海楼,27.83329964,121.1333008,K3405
505,鸣山,27.68330002,120.5500031,K3406
506,永嘉,28.14999962,120.6832962,K3407
507,温州,28.0333004,120.6500015,K3408
508,瑞安,27.7833004,120.6500015,K3409
509,乐清,28.06669998,120.9666977,K3410
510,苍南,27.48329926,120.3833008,K3412
511,文成,27.7833004,120.0832977,K3413
512,平阳,27.66670036,120.5667038,K3414
513,洞头,27.83329964,121.1500015,K3415
514,南麂空心屿,27.46,120.96,K3440
515,灵昆沙塘,27.96,120.89,K3441
516,小霓屿岛,27.84,121,K3442
